District,Candidate,Party,Votes
Srinivaspur,K.P.NAGARAJA,Bahujan Samaj Party,756
Srinivaspur,P.C.VENKATASHIVAREDDY,Independent,554
Srinivaspur,M.HARISH,Badavara Shramikara Raitara Congress Party,434
Srinivaspur,V.SRIRAMA,Janata Dal  (United),303
Srinivaspur,S.V.VENKATACHALAPATHI,Karnataka Jantha Paksha,266
Srinivaspur,NAYAZ AHMED,Samajwadi Janata Party(Karnataka),219
Sullia,ANGARA. S,Bharatiya Janata Party,65913
Sullia,DR. B. RAGHU,Indian National Congress,64540
Sullia,NANDARAJ SANKESH,Janata Dal  (Secular),8551
Sullia,M. KOOSAPPA,SOCIAL DEMOCRATIC PARTY OF INDIA,2569
Sullia,G. KUNHIRAMAN,Independent,1380
Sullia,CHANDRAVATHI,Karnataka Jantha Paksha,1001
Sullia,A. ANGARA,Independent,725
Sullia,K. KUSHALA BELLARE,Independent,705
Sullia,KARUNESH. S,Independent,682
T.narasipur,DR. H.C. MAHADEVAPPA,Indian National Congress,53219
T.narasipur,M.C.SUNDARESHAN,Janata Dal  (Secular),52896
T.narasipur,PUTTABASAVAIAH,Karnataka Jantha Paksha,15204
T.narasipur,C.RAMESH,Bharatiya Janata Party,5175
T.narasipur,SAMPATHKUMAR,Independent,1537
T.narasipur,B.M.DODDAMADAIAH,Bharatiya Dr. B.R.Ambedkar Janta Party,1226
T.narasipur,TALAKADU G.KEMPARAJU,Independent,971
T.narasipur,SIDDAIAH,Hindusthan Nirman Dal,844
T.narasipur,B.M. SRIKANTAVARDHAN,Independent,836
T.narasipur,M. MAHADEVU,Badavara Shramikara Raitara Congress Party,728
T.narasipur,B.C.SHANTHARAJU,Independent,564
T.narasipur,SURENDRA B.P,Independent,504
T.narasipur,MADAPPA,Independent,465
T.narasipur,M. KUMAR KRANTI,Independent,433
T.narasipur,NINGAIAH,Independent,387
T.narasipur,SRINIVASA,Janata Dal  (United),304
Tarikere,G.H SRINIVASA,Indian National Congress,35817
Tarikere,D.S SURESH,Karnataka Jantha Paksha,34918
Tarikere,H.M GOPI KRISHNA,Independent,34554
Tarikere,T.R NAGARAJ,Janata Dal  (Secular),8421
Tarikere,AVINASH T.J,Bharatiya Janata Party,2989
Tarikere,DORANALU SURESH,Sarvodaya Karnataka Paksha,2116
Tarikere,THEERTHAPPA,Independent,978
Tarikere,DEVARAJU T.S,Samajwadi Janata Party(Karnataka),881
Tarikere,JAYARAMU V,Independent,839
Tarikere,H.P ASHOKA,Independent,795
Tarikere,T.S SURESHA,Independent,608
Tarikere,K MANJUNATHA,Badavara Shramikara Raitara Congress Party,600
Tarikere,NEELAKANTAPPA B.R,Independent,415
Tarikere,H.S NEELAKANTAPPA HOSURU,Independent,318
Tarikere,B.R PARAMESHA NAIK,Independent,278
Tarikere,SURESHA A,Independent,200
Terdal,UMASHREE,Indian National Congress,70189
Terdal,SIDDU SAVADI,Bharatiya Janata Party,67590
Terdal,BASAVARAJ IRAPPA BALIKAI,Karnataka Jantha Paksha,5558
Terdal,RANGANAGOUDA SHIVANAGOUDA PATIL,Janata Dal  (Secular),5282
Terdal,MAIBUBSAB MAHMADSAB SANGTRAS,Independent,1407
Terdal,KESARAGOPPA RAMESH LAKKAPPA,Badavara Shramikara Raitara Congress Party,1005
Terdal,MAHABUBSAB MOULASAB NADAF,Janata Dal  (United),531
Tiptur,K.SHADAKSHARI,Indian National Congress,56817
Tiptur,B.C.NAGESH,Bharatiya Janata Party,45215
Tiptur,LOKESHWARA,Karnataka Jantha Paksha,28667
Tiptur,M.LINGARAJU (JAKKANAHALLI),Janata Dal  (Secular),6104
Tiptur,VEERABHADRAIAH M.C.,Independent,880
Tiptur,ABDULWAKEEL,Bahujan Samaj Party,847
Tiptur,SUDHARSHAN K.G,Badavara Shramikara Raitara Congress Party,504
Tiptur,H.L.MOHANKUMAR,Independent,450
Tiptur,L.P.YADUNANDANA,Independent,415
Tiptur,LINGADAHALLI RAJASHEKARA,Independent,354
Tirthahalli,KIMMANE RATNAKAR,Indian National Congress,37160
Tirthahalli,R. M. MANJUNATHA GOWDA,Karnataka Jantha Paksha,35817
Tirthahalli,ARAGA JNANENDRA,Bharatiya Janata Party,34446
Tirthahalli,R. MADAN,Janata Dal  (Secular),21295
Tirthahalli,ASHOKAMURTHY,Badavara Shramikara Raitara Congress Party,5161
Tirthahalli,H. B. KIRAN KUMAR,Independent,1627
Tirthahalli,JADUGAR NISCHAL .V. SHETTY,Independent,1363
Tirthahalli,KUNAJE MANJUNATHA GOWDA,Bahujan Samaj Party,1062
Tirthahalli,BEHALLI NAGARAJ .D.,Janata Dal  (United),738
Tirthahalli,NAGESH HORABYLU,Independent,546
Tumkur City,DR. RAFEEQ AHMED S.,Indian National Congress,43681
Tumkur City,G.B. JYOTHI GANESH,Karnataka Jantha Paksha,40073
Tumkur City,N. GOVINDARAJU,Janata Dal  (Secular),38322
Tumkur City,S. SHIVANNA(SOGADU),Bharatiya Janata Party,13159
Tumkur City,MOHAMMED SADIQ JAMEEL (BANU),SOCIAL DEMOCRATIC PARTY OF INDIA,698
Tumkur City,SYED WAJID AHMED,Independent,552
Tumkur City,RAHAMATH SHARIFF,Independent,505
Tumkur City,SHIVARAMAIAH,Badavara Shramikara Raitara Congress Party,278
Tumkur City,RAJANIKANTH  B.R.,Independent,263
Tumkur City,SUHAS S.L.,Independent,259
Tumkur City,M. SIDDALINGAIAH,Independent,174
Tumkur City,B.T. SUNANDA,Janata Dal  (United),144
Tumkur City,NANJEGOWDA R.,Independent,131
Tumkur City,TOUFEEQ ULLA KHAN,Independent,78
Tumkur Rural,B.SURESH GOWDA,Bharatiya Janata Party,55029
Tumkur Rural,GOWRISHANKAR.D.C.,Janata Dal  (Secular),53457
Tumkur Rural,H.NINGAPPA,Karnataka Jantha Paksha,22709
Tumkur Rural,AUDITOR NAGARAJU YALACHAVADI,Indian National Congress,8599
Tumkur Rural,N.GANGAIAH,Bahujan Samaj Party,1060
Tumkur Rural,SIDDARAMEGOWDA.T.B.,Independent,1041
Tumkur Rural,B.H.KALAIAH,Janata Dal  (United),935
Tumkur Rural,VIJAYAKUMAR N.,Independent,662
Tumkur Rural,K.V.SRINIVAS KALKERE,Independent,637
Tumkur Rural,MEHAR TAJ,Independent,558
Tumkur Rural,LAKSHMI,Independent,530
Tumkur Rural,M.KUMBAIAH,Badavara Shramikara Raitara Congress Party,497
Tumkur Rural,ANWAR,Independent,410
Tumkur Rural,DATTATREYA.M.J.,Independent,338
Tumkur Rural,D.LAKSHMAIAH,Independent,263
Turuvekere,M.T.KRISHNAPPA,Janata Dal  (Secular),66089
Turuvekere,MASALA JAYARAM,Karnataka Jantha Paksha,57164
Turuvekere,GEETHA RAJANNA,Indian National Congress,7513
Turuvekere,B.K.SOMASHEKARA,Bharatiya Janata Party,3542
Turuvekere,SHIVAKUMAR,Independent,1121
Turuvekere,RAJASHEKARA  (HELICOPTER),Badavara Shramikara Raitara Congress Party,1068
Turuvekere,M.T.KRISHNAPPA,Independent,851
Turuvekere,CHETHAN RANGANATH,Independent,743
Turuvekere,H.MAHESHA,Independent,722
Turuvekere,D.G.GOPALAIAH,Bahujan Samaj Party,472
Turuvekere,D.K.THIMMEGOWDA,Independent,399
Turuvekere,N.C.PRAKASH,Independent,390
Udupi,PRAMOD MADHWARAJ,Indian National Congress,86868
Udupi,B. SUDHAKAR SHETTY,Bharatiya Janata Party,47344
Udupi,ALEVOOR YOGEESH ACHARYA,Independent,1472
Udupi,BARKUR SATISH POOJARY,Janata Dal  (Secular),1017
Udupi,MANJUNATH. V.,Bahujan Samaj Party,986
Udupi,THUKARAM KOTIAN,Independent,498
Udupi,NASIR HUSSAIN,Independent,245
Varuna,SIDDARAMAIAH,Indian National Congress,84385
Varuna,KAPU SIDDALINGASWAMY,Karnataka Jantha Paksha,54744
Varuna,CHELUVARAJ,Janata Dal  (Secular),2686
Varuna,SHIVAMAHADEVA,Bahujan Samaj Party,2419
Varuna,G.M. GADKAR,Samajwadi Janata Party(Karnataka),1454
Varuna,MASTER M.SURESH,Independent,1427
Varuna,SIDDALINGASWAMY,Independent,1383
Varuna,D. ESHWARA THOREMAVU,Republican Party of India (A),1233
Varuna,NIRMALAKUMARI,Bharatiya Dr. B.R.Ambedkar Janta Party,1195
Varuna,MAHENDRA.S.D,Bharatiya Janata Party,1070
Varuna,TOPI BASAVARAJU.G.S,Independent,1022
Varuna,RACHAPPAJI BILIGEREHUNDI,Independent,980
Varuna,M. NAGENDRANAYAKA,Independent,902
Varuna,SIDDARAJU .N.P,Independent,593
Varuna,SIDDARAMAIAH,Independent,533
Varuna,T.B.SADGURU,Sarva Janata Party,484
Varuna,B.MAHADEVASWAMY,Independent,448
Varuna,NANJUNDARAJU .H.N,Independent,435
Varuna,Y.K.PRADEEPKUMAR,Independent,432
Varuna,GIRISH HALEPURA,Badavara Shramikara Raitara Congress Party,409
Varuna,CHANNAMAYIGOWDA,Independent,392
Varuna,A.R.SWAMY,Ambedkar Janatha Party,366
Varuna,M.PUTTASWAMY,Independent,364
Varuna,SRIKANTA,Independent,364
Varuna,P.ESHWARASWAMY,Independent,360
Varuna,RAJU,Akhil Bharat Hindu Mahasabha,345
Varuna,CHANNABASAVANNA,Independent,216
Vijay Nagar,M.KRISHNAPPA,Indian National Congress,76891
Vijay Nagar,V.SOMANNA,Bharatiya Janata Party,44249
Vijay Nagar,KANYAKUMARI.B S,Janata Dal  (Secular),4253
Vijay Nagar,B.S.VAGESH PRASAD,Karnataka Jantha Paksha,1791
Vijay Nagar,M.MUKUNDA,Independent,819
Vijay Nagar,K.S.VANAJAMBA,Lok Satta Party,778
Vijay Nagar,GANESH SHANBHOGUE,Independent,606
Vijay Nagar,JAYAKUMAR.C.N,Bahujan Samaj Party,553
Vijay Nagar,M.KRISHNAPPA,Independent,343
Vijay Nagar,R.RAMESH,Independent,328
Vijay Nagar,M.RAJU,Independent,321
Vijay Nagar,PRASHANTH.N,Independent,267
Vijay Nagar,MURALIDHARA.D.J,National People's Party,256
Vijay Nagar,YADAVI.K.M,Badavara Shramikara Raitara Congress Party,231
Vijay Nagar,ZAKIR HUSSAIN KHAN,Independent,212
Vijay Nagar,BALAKRISHNA.R.K.RAJU,Independent,210
Vijay Nagar,SYED FAROOQ,Independent,206
Vijay Nagar,SHAIK SARDAR,Independent,169
Vijay Nagar,ARVIND.B.PATIL,Independent,136
Vijay Nagar,HARSHA MUTALIK,Janata Dal  (United),133
Vijay Nagar,S.SIDDARAJU,Republican Party of India,132
Vijay Nagar,C.K.RAVI,Bharatiya Dr. B.R.Ambedkar Janta Party,93
Vijay Nagar,SYED SABEER,Independent,83
Vijay Nagar,SYED ULLA HABIB,Independent,73
Vijay Nagar,DR|| SYED THASADUK  AHAMED,Independent,64
Vijayanagara,ANAND SINGH,Bharatiya Janata Party,69995
Vijayanagara,H.ABDUL WAHAB,Indian National Congress,39358
Vijayanagara,B L RANI SAMYUKTHA,Badavara Shramikara Raitara Congress Party,6406
Vijayanagara,MOHAMMED ABDUL LATEEF,Independent,1039
Vijayanagara,BHASKAR REDDY,Communist Party of India  (Marxist),944
Vijayanagara,GANESH,Bahujan Samaj Party,937
Vijayanagara,S.M MANOHARA,Independent,877
Vijayanagara,BASAVARAJ NALATHVAD,Independent,801
Vijayanagara,B.VEERESH,Karnataka Jantha Paksha,618
Vijayanagara,Y PAMPAPATHI,Independent,612
Vijayanagara,K BASAVARAJA  ,Janata Dal  (Secular),611
Vijayanagara,G. DEVANANDA,Independent,355
Vijayanagara,D VEERANAGOUDA,Independent,322
Vijayanagara,A VIJAYAKUMAR,Independent,307
Vijayanagara,P NAGARAJA,Independent,284
Vijayanagara,DR. EMMANVEL R.G,Independent,283
Vijayanagara,GHOUSIYA KHAN,Independent,265
Vijayanagara,DEVAKUMAR,Independent,238
Vijayanagara,MANJUNATHA. V,Pyramid Party of India,235
Vijayanagara,AMEEN BASHA SAB,Independent,226
Virajpet,K.G.BOPAIAH,Bharatiya Janata Party,67250
Virajpet,BIDDATANDA.T.PRADEEP,Indian National Congress,63836
Virajpet,DAMBEKODI MADAPPA,Janata Dal  (Secular),5880
Virajpet,VIJAYASINGH.R.DAVID,Independent,2140
Virajpet,AIYAPPA.M.N.,Badavara Shramikara Raitara Congress Party,972
Virajpet,MARANNA DILIPKUMAR,Independent,685
Virajpet,S.D.UDAYA,Independent,662
Virajpet,USMAN.K.A,SOCIAL DEMOCRATIC PARTY OF INDIA,527
Virajpet,CHANGAPPA,Communist Party of India (Marxist-Leninist) Red Star,425
Yadgir,DR. MAALAKAREDDY,Indian National Congress,40434
Yadgir,VEER BASWANT REDDY,Karnataka Jantha Paksha,31330
Yadgir,ABDUL NABI KADLOOR,Janata Dal  (Secular),23977
Yadgir,MOULALI ANPUR,Badavara Shramikara Raitara Congress Party,12721
Yadgir,CHANDRASHEKAR GOUDA MAGNOOR,Bharatiya Janata Party,3556
Yadgir,SIDDRAMAPPA,Independent,3141
Yadgir,BASANNAGOUDA NAIKAL,Independent,1758
Yadgir,ANANTH REDDY KANDALLI,Independent,1103
Yadgir,JALANDHAR RAO,Independent,932
Yadgir,BASAVARAJ,Bahujan Samaj Party,826
Yelahanka,S.R. VISHWANATH,Bharatiya Janata Party,75507
Yelahanka,B. CHANDRAPPA,Janata Dal  (Secular),57110
Yelahanka,GOPALAKRISHNA M.N,Indian National Congress,52372
Yelahanka,VENUGOPAL RAO,Karnataka Jantha Paksha,3736
Yelahanka,ERANNA. G,Bahujan Samaj Party,1538
Yelahanka,NARAYANASWAMY B.M,Janata Dal  (United),933
Yelahanka,B. VISHWANATH,Independent,907
Yelahanka,G.R. PADMASHREE,Rani Chennamma Party,678
Yelahanka,B. CHANDRAPPA,Independent,669
Yelahanka,R. PRAKASH @ ANILRAJ,Independent,631
Yelahanka,SARITHA S.S,Pyramid Party of India,504
Yelahanka,CHANDRAPPA,Independent,397
Yelahanka,MAHESH P,Badavara Shramikara Raitara Congress Party,392
Yelahanka,K.N. MUNIRAJU,Independent,306
Yelahanka,GOPALAKRISHNA H.K,Independent,266
Yelahanka,OBANNA,Independent,201
Yelburga,BASAVARAJ RAYARADDY,Indian National Congress,52388
Yelburga,ACHAR HALAPPA BASAPPA,Bharatiya Janata Party,35488
Yelburga,G.T.PAMPAPATI,Janata Dal  (Secular),12040
Yelburga,NAVEEN KUMAR. E. GULAGANNANAVAR,Badavara Shramikara Raitara Congress Party,10640
Yelburga,C.H. PATIL,Karnataka Jantha Paksha,10212
Yelburga,NAGARAJ KOLAJI,Independent,9888
Yelburga,SOMASHEKAR T. M,Independent,2018
Yelburga,SHIVASHANKARAYYA BALIGERIMATH,Independent,1233
Yelburga,DURAGAPPA AYYAPPA TALAKERI,Bahujan Samaj Party,810
Yelburga,SIDDAPPA HAKKIGUNI,Independent,793
Yelburga,SHIVASHANKAR LINGARAJ DESAI,Independent,718
Yelburga,GANIGER MALAKAJAPPA SHIVARUDRAPPA,Independent,501
Yellapur,ARBAIL SHIVARAM HEBBAR,Indian National Congress,58025
Yellapur,PATIL VEERABHADRAGOUDA SHIVANAGOUDA,Bharatiya Janata Party,33533
Yellapur,ANIL KUMAR D.,Janata Dal  (Secular),22361
Yellapur,MAHESH M HOSKOPPA,Karnataka Jantha Paksha,1669
Yellapur,MARUTI NAGAPPA KARANDE,Independent,1637
Yellapur,BIDARI SANGAMESH MAHADEV,Independent,710
Yellapur,SHAKUNTALA PRABHAKAR HARIKANTRA,Bahujan Samaj Party,582
Yellapur,BHANDARKAR GANESH NAGESH,Independent,545
Yellapur,UMAKANTH S KSHATRIYA,Independent,489
Yellapur,BHAGWAT VENKATRAMAN GANAPATI,Independent,437
Yellapur,PATANAKAR GANESH,Independent,343
Yellapur,LAXMAN BANASODE,Janata Dal  (United),227
Yellapur,VISHWANATH R BHAGWAT,Badavara Shramikara Raitara Congress Party,187
Yemkanmardi,SATISH LAXMANARAO JARAKIHOLI,Indian National Congress,70726
Yemkanmardi,ASTAGI MARUTI MALLAPPA,Bharatiya Janata Party,46376
Yemkanmardi,SANARAM SIDDAPPA NAIK,Janata Dal  (Secular),3348
Yemkanmardi,DR. YALAGUND BASANAIK NAIK,Karnataka Jantha Paksha,2129
Yemkanmardi,BASAVARAJ  SIDDALINGAPPA  SAYANNAVAR,Independent,1981
Yeshvanthapura,S.T.SOMASHEKAR,Indian National Congress,120380
Yeshvanthapura,T.N.JAVARAYI GOWDA,Janata Dal  (Secular),91280
Yeshvanthapura,HL KRISHNAPPA,Bharatiya Janata Party,12747
Yeshvanthapura,NARASIMAIAH,Bahujan Samaj Party,1315
Yeshvanthapura,M.K. PASHA,Janata Dal  (United),1183
Yeshvanthapura,SP SOMASHEKAR,Independent,1126
Yeshvanthapura,SEETHARAMU,Independent,682
Yeshvanthapura,S NAGENDRA,Independent,506
Yeshvanthapura,RAJAMMA,Independent,433
Yeshvanthapura,SOMASHEKAR N,Lok Jan Shakti Party,431
Yeshvanthapura,LOKESH HK,Badavara Shramikara Raitara Congress Party,413
Yeshvanthapura,R.S.DEEPAK KUMAR,Independent,369
Yeshvanthapura,MAHADEVA SWAMY B M,Bharatiya Dr. B.R.Ambedkar Janta Party,331
Yeshvanthapura,T S CHAITHANYA,Independent,319
